"idx","AID","address","lat","lon"
0,0,"AAC",30.2521117,-97.6872072
1,"A283495","11705 Chapel in Austin (TX)",30.281757,-97.833692
2,"A317744","1700 E 4Th St in Austin (TX)",30.260852,-97.725143
3,"A321325","Grover Avenue And Romeria Drive in Austin (TX)",-1.0,-1.0
4,"A350276","Austin (TX)",-1.0,-1.0
5,"A352261","4808 Rustown Drive in Austin (TX)",30.419731,-97.732384
6,"A357122","8702 Black Oak St. in Austin (TX)",30.458123,-97.769874
7,"A358260","Austin (TX)",-1.0,-1.0
8,"A362851","4201 Monterey Oaks Boulevard in Austin (TX)",30.23475,-97.84015
9,"A372496","1109 Southwood Road in Austin (TX)",30.243662,-97.766439
10,"A372641","Matthews And Southwind in Austin (TX)",-1.0,-1.0
11,"A378974","1411 Cometa in Austin (TX)",30.281322,-97.689919
12,"A384027","Belclaire Lane And Sundail in Austin (TX)",-1.0,-1.0
13,"A386938","Austin (TX)",-1.0,-1.0
14,"A388545","Austin (TX)",-1.0,-1.0
15,"A390436","1100 Arcadia Ave in Austin (TX)",30.333105,-97.725173
16,"A391379","5400 Friedrich Lane in Austin (TX)",-1.0,-1.0
17,"A400841","Austin (TX)",-1.0,-1.0
18,"A413789","Stassney And Nuckols Crossing in Austin (TX)",-1.0,-1.0
19,"A416147","6001 West Parmer in Austin (TX)",30.441701,-97.745048
20,"A416147","Fm 734 And Mcneil Road in Austin (TX)",-1.0,-1.0
21,"A416147","Williamson (TX)",-1.0,-1.0
22,"A432542","307 E 38Th St in Austin (TX)",30.299383,-97.731622
23,"A434171","10107 East Rutland Village Drive in Austin (TX)",-1.0,-1.0
24,"A437400","8300 Garcreek in Austin (TX)",30.294463,-97.628692
25,"A443875","Austin (TX)",-1.0,-1.0
26,"A443876","Austin (TX)",-1.0,-1.0
27,"A444494","11846 Jollyville Rd in Austin (TX)",30.423016,-97.75636
28,"A446266","Austin (TX)",-1.0,-1.0
29,"A446860","11301 Farrah Lane in Austin (TX)",30.140027,-97.799973
30,"A447792","Westmoreland in Austin (TX)",-1.0,-1.0
31,"A449318","1000 Parker Lane in Austin (TX)",30.223878,-97.742275
32,"A450902","1100 Congress Avenue in Austin (TX)",30.272609,-97.741133
33,"A451534","Austin (TX)",-1.0,-1.0
34,"A451534","Austin (TX)",-1.0,-1.0
35,"A451561","Towering Oaks Drive And Whispering Winds Drive in Austin (TX)",-1.0,-1.0
36,"A453399","Gardner in Austin (TX)",-1.0,-1.0
37,"A454044","Cinnamon Path in Austin (TX)",-1.0,-1.0
38,"A454044","1608 Waterloo Trail in Austin (TX)",30.241453,-97.774767
39,"A454228","5400 Freidrich in Austin (TX)",30.200571,-97.756311
40,"A454956","Hardy Dr And Piedmont Ave in Austin (TX)",-1.0,-1.0
41,"A458713","Dagon And Avering in Austin (TX)",-1.0,-1.0
42,"A460420","803 East Riverside Drive in Austin (TX)",30.250258,-97.740361
43,"A463685","2308 Perry Avenue in Austin (TX)",30.244984,-97.765517
44,"A463685","7201 Levander Loop in Austin (TX)",30.25148,-97.690812
45,"A464421","Austin (TX)",-1.0,-1.0
46,"A464421","Austin (TX)",-1.0,-1.0
47,"A471683","8021 N Fm 620 Apt817 in Austin (TX)",-1.0,-1.0
48,"A474193","8001 South Interstate 35 in Austin (TX)",30.176461,-97.778205
49,"A474506","2304 Elara Drive in Austin (TX)",-1.0,-1.0
50,"A475011","1100 Montopolis in Austin (TX)",30.224946,-97.703444
51,"A477912","Fm 969 And Hunters Bend Road in Austin (TX)",-1.0,-1.0
52,"A478575","1210 Kenyon Drive in Austin (TX)",30.206665,-97.793018
53,"A478962","7313 Providence in Austin (TX)",30.33155,-97.695734
54,"A479356","8301 Warbler Ct in Austin (TX)",30.35324,-97.709327
55,"A480389","1602 Ulit Avenue in Austin (TX)",30.278295,-97.712056
56,"A482199","East Stassney Lane in Austin (TX)",-1.0,-1.0
57,"A483604","Berkman Drive in Austin (TX)",-1.0,-1.0
58,"A483941","115 Heritage Drive in Hays (TX)",30.203043,-97.987996
59,"A484568","1505 Willow Street in Austin (TX)",30.257731,-97.729636
60,"A486526","115 Heritage Drive in Hays (TX)",30.203043,-97.987996
61,"A487443","Parmer Lane And Mopac in Austin (TX)",-1.0,-1.0
62,"A488234","Clear View in Travis (TX)",-1.0,-1.0
63,"A489405","Austin (TX)",-1.0,-1.0
64,"A490230","5208 Garden Oaks Drive in Austin (TX)",30.205858,-97.778952
65,"A491142","Austin (TX)",-1.0,-1.0
66,"A491338","2630 Exposition Boulevard in Austin (TX)",30.302936,-97.764611
67,"A491764","4307 South 1St in Austin (TX)",30.222477,-97.77152
68,"A495162","12313 Emery Oaks Dr in Austin (TX)",-1.0,-1.0
69,"A495636","12041 Dessau Road in Austin (TX)",30.380731,-97.651788
70,"A496993","Hunters Chase Dr in Austin (TX)",-1.0,-1.0
71,"A497527","Austin (TX)",-1.0,-1.0
72,"A498737","Travis (TX)",-1.0,-1.0
73,"A498745","Vargas St in Austin (TX)",-1.0,-1.0
74,"A500324","4717 Highland Terrace in Austin (TX)",30.328162,-97.756581
75,"A500672","12021 Selma Huges Park Rd in Austin (TX)",-1.0,-1.0
76,"A501697","4404 Marlin Cove in Austin (TX)",-1.0,-1.0
77,"A501761","294 Dry Creek Rd in Manor (TX)",-1.0,-1.0
78,"A502352","Austin (TX)",-1.0,-1.0
79,"A505566","1704 Nelms Dr in Austin (TX)",30.192998,-97.76505
80,"A505566","8117 Willet Trl in Austin (TX)",30.196379,-97.828144
81,"A507271","3838 Steck Avenue in Austin (TX)",30.373683,-97.750126
82,"A507491","4320 S Congress in Austin (TX)",30.238521,-97.75046
83,"A508612","502 W Croslin in Austin (TX)",30.336603,-97.707705
84,"A510476","737 Wales in Austin (TX)",30.181503,-97.798267
85,"A510858","Austin (TX)",-1.0,-1.0
86,"A516150","Austin (TX)",-1.0,-1.0
87,"A516151","Austin (TX)",-1.0,-1.0
88,"A516176","7708 Song Sparrow Dr in Austin (TX)",30.157658,-97.727466
89,"A516885","3116 Rokeby Cove in Austin (TX)",30.391503,-97.620592
90,"A516885","Howard Ln in Austin (TX)",-1.0,-1.0
91,"A517632","Lake Austin in Austin (TX)",-1.0,-1.0
92,"A518230","Austin (TX)",-1.0,-1.0
93,"A518581","3001 N Fm 973 in Austin (TX)",30.160351,-97.66455
94,"A519025","Austin (TX)",-1.0,-1.0
95,"A519763","1044 Camino La Costa in Austin (TX)",30.325083,-97.699752
96,"A520786","Austin (TX)",-1.0,-1.0
97,"A523389","Gattling Gun in Austin (TX)",-1.0,-1.0
98,"A523770","Travis (TX)",-1.0,-1.0
99,"A524452","2000 Cedar Bend Dr in Austin (TX)",30.408828,-97.697474
100,"A524545","7909 Topana Ln in Austin (TX)",-1.0,-1.0
101,"A524545","Cameron Rd And 290 Underpass in Austin (TX)",-1.0,-1.0
102,"A525511","1105 Brass St in Austin (TX)",30.265102,-97.703527
103,"A525511","1105 Brass Street in Austin (TX)",30.265102,-97.703527
104,"A525888","9801 West Parmer Lane in Austin (TX)",30.485439,-97.771702
105,"A526687","Austin (TX)",-1.0,-1.0
106,"A527020","9700 Us 290 Highway in Austin (TX)",30.335303,-97.616323
107,"A528768","Austin (TX)",-1.0,-1.0
108,"A528958","7601 Daffan  Lane in Austin (TX)",30.314063,-97.620806
109,"A529956","10305 Lava Lane in Austin (TX)",-1.0,-1.0
110,"A530690","5808 Mckinney Falls Pkwy in Austin (TX)",30.169987,-97.722479
111,"A531278","15520 Sarahs Creek in Travis (TX)",-1.0,-1.0
112,"A531358","10841 Redmond Road in Austin (TX)",30.188844,-97.890639
113,"A531378","Pioneer Crossing in Austin (TX)",-1.0,-1.0
114,"A531978","220 Quinn Drive in Hays (TX)",30.249698,-98.046633
115,"A532137","7501 Bluff Springs Road in Austin (TX)",30.176482,-97.769365
116,"A533384","6105 Mountain Villa Cr in Austin (TX)",-1.0,-1.0
117,"A534157","Austin (TX)",-1.0,-1.0
118,"A534499","6300 Tara Drive in Austin (TX)",30.162773,-97.741359
119,"A535405","Austin (TX)",-1.0,-1.0
120,"A536405","Austin (TX)",-1.0,-1.0
121,"A537028","12609 Dessau Road in Austin (TX)",30.391433,-97.646232
122,"A538102","710 West Us 290 in Austin (TX)",-1.0,-1.0
123,"A538102","91 Rainy Street in Austin (TX)",-1.0,-1.0
124,"A539554","Austin (TX)",-1.0,-1.0
125,"A539793","2200 S Pleasant Valley Road in Austin (TX)",30.231406,-97.726033
126,"A540548","Austin (TX)",-1.0,-1.0
127,"A540861","Decker Lane in Austin (TX)",-1.0,-1.0
128,"A540861","Taylor Lane in Manor (TX)",-1.0,-1.0
129,"A541497","7224 Black Panda Trail in Travis (TX)",30.154987,-97.644201
130,"A541607","Arroyo Seco And Burnet in Austin (TX)",-1.0,-1.0
131,"A542046","Austin (TX)",-1.0,-1.0
132,"A543319","2000 Cedar Bend Dr in Austin (TX)",30.408828,-97.697474
133,"A543947","4708 Reyes Street in Austin (TX)",30.274455,-97.688157
134,"A544366","Beckett Road And Kiva Drive in Austin (TX)",-1.0,-1.0
135,"A545642","Austin (TX)",-1.0,-1.0
136,"A546199","5814 Gloucester Lane in Austin (TX)",30.30584,-97.678009
137,"A546726","4309 Oak Creek Dr in Austin (TX)",30.430774,-97.715359
138,"A547054","Austin (TX)",-1.0,-1.0
139,"A547142","Austin (TX)",-1.0,-1.0
140,"A548513","9901 North Lamar Boulvard in Austin (TX)",-1.0,-1.0
141,"A548919","2206 Blue Meadow Dr in Austin (TX)",30.182112,-97.762965
142,"A548940","5426 Menchaca Rd in Austin (TX)",30.217118,-97.797073
143,"A549876","10501 Walnut Bend Dr in Austin (TX)",30.366392,-97.675344
144,"A549917","1647 Rutland Dr in Austin (TX)",30.373797,-97.712583
145,"A550207","Austin (TX)",-1.0,-1.0
146,"A552025","4703 Quicksilver Blvd in Austin (TX)",30.173258,-97.757475
147,"A552059","2204 Whitestone Dr in Austin (TX)",30.215845,-97.80241
148,"A552811","Austin (TX)",-1.0,-1.0
149,"A553074","Montopolis And Grove St in Austin (TX)",-1.0,-1.0
150,"A553251","3507 Starline Drive in Austin (TX)",30.362657,-97.745821
151,"A554236","Austin (TX)",-1.0,-1.0
152,"A554278","3002 Birdwood Circle in Austin (TX)",30.238008,-97.771418
153,"A554344","11821 Carrizo Springs in Travis (TX)",30.33225,-97.558288
154,"A554477","1657 Chippeway Lane in Austin (TX)",30.203012,-97.799785
155,"A554608","Austin (TX)",-1.0,-1.0
156,"A555431","1647 Chippeway in Austin (TX)",30.203909,-97.799211
157,"A556025","9801 Menchaca Road Walgreens in Austin (TX)",-1.0,-1.0
158,"A556434","2601 Light Foot Trail in Austin (TX)",-1.0,-1.0
159,"A556767","7201 Levander Loop in Austin (TX)",30.25148,-97.690812
160,"A556815","2201 Pennsylvania Ave in Austin (TX)",30.272135,-97.716377
161,"A557091","Austin (TX)",-1.0,-1.0
162,"A557091","Outside Jurisdiction",-1.0,-1.0
163,"A557260","3600 Presidential Blvd in Austin (TX)",30.193489,-97.66501
164,"A557325","Natali And Swanson Ln in Austin (TX)",-1.0,-1.0
165,"A560774","Austin (TX)",-1.0,-1.0
166,"A561593","3101 Shoreline Dr in Austin (TX)",-1.0,-1.0
167,"A563676","10004 Oak Hollow Drive in Austin (TX)",30.376024,-97.706511
168,"A563725","2100 Barton Springs in Austin (TX)",30.267918,-97.768223
169,"A563859","11200 Lakeline Mall Drive in Cedar Park (TX)",30.470513,-97.806971
170,"A564082","Alsatia Drive And Currin Lane in Austin (TX)",-1.0,-1.0
171,"A564491","Austin (TX)",-1.0,-1.0
172,"A564630","6205 North Lamar Boulevard in Austin (TX)",30.330417,-97.722994
173,"A565152","11300 Doyle Overton Road in Travis (TX)",30.080573,-97.639591
174,"A566568","7109 Boyle Drive in Austin (TX)",30.305719,-97.645069
175,"A566659","2508 East Riverside Dr in Austin (TX)",30.236591,-97.722148
176,"A566837","907 Thompson in Austin (TX)",30.27071,-97.70882
177,"A567441","11509 Glen Falloch Ct in Austin (TX)",30.348892,-97.608659
178,"A568412","Pepper Tree in Austin (TX)",-1.0,-1.0
179,"A568668","Stuart Circle And Jain Lane in Austin (TX)",-1.0,-1.0
180,"A568818","West Howard Lane in Austin (TX)",-1.0,-1.0
181,"A568945","Airport And Springdale in Austin (TX)",-1.0,-1.0
182,"A568985","Austin (TX)",-1.0,-1.0
183,"A569057","8220 Research Boulevard in Austin (TX)",30.354861,-97.71705
184,"A569057","2004 Garden Street in Austin (TX)",30.253981,-97.724061
185,"A570053","6916 Providence Ave in Austin (TX)",30.327771,-97.698681
186,"A570239","Springdale Road And East Cesar Chavez Street in Austin (TX)",-1.0,-1.0
187,"A571053","2104 East Anderson Lane in Austin (TX)",30.330016,-97.678173
188,"A571887","17800 Fm 1431 in Jonestown (TX)",-1.0,-1.0
189,"A572200","5805 Arbor Pavilion in Austin (TX)",30.190837,-97.739785
190,"A572680","Austin (TX)",-1.0,-1.0
191,"A572990","Ridgemont Drive in Austin (TX)",-1.0,-1.0
192,"A573892","Austin (TX)",-1.0,-1.0
193,"A574084","Travis (TX)",-1.0,-1.0
194,"A574326","9402 Menchaca Road in Austin (TX)",30.178412,-97.821515
195,"A574564","11604 Stonehollow Drive in Austin (TX)",30.397019,-97.710895
196,"A574931","Cameron Rd And East 51St Street in Austin (TX)",-1.0,-1.0
197,"A575388","Austin (TX)",-1.0,-1.0
198,"A576469","East 51St And Airport Boulevard in Austin (TX)",-1.0,-1.0
199,"A577114","Rundberg And Ih 35 in Austin (TX)",-1.0,-1.0
200,"A577358","1501 Darjeeling Drive in Travis (TX)",30.422727,-97.63615
201,"A578345","Austin (TX)",-1.0,-1.0
202,"A578813","Austin (TX)",-1.0,-1.0
203,"A578861","Austin (TX)",-1.0,-1.0
204,"A578861","Austin (TX)",-1.0,-1.0
