"idx","AID","address"
1,"A283495","11705 Chapel in Austin (TX)"
2,"A317744","1700 E 4Th St in Austin (TX)"
3,"A321325","Grover Avenue And Romeria Drive in Austin (TX)"
4,"A350276","Austin (TX)"
5,"A352261","4808 Rustown Drive in Austin (TX)"
6,"A357122","8702 Black Oak St. in Austin (TX)"
7,"A358260","Austin (TX)"
8,"A362851","4201 Monterey Oaks Boulevard in Austin (TX)"
9,"A372496","1109 Southwood Road in Austin (TX)"
10,"A372641","Matthews And Southwind in Austin (TX)"
11,"A378974","1411 Cometa in Austin (TX)"
12,"A384027","Belclaire Lane And Sundail in Austin (TX)"
13,"A386938","Austin (TX)"
14,"A388545","Austin (TX)"
15,"A390436","1100 Arcadia Ave in Austin (TX)"
16,"A391379","5400 Friedrich Lane in Austin (TX)"
17,"A400841","Austin (TX)"
18,"A413789","Stassney And Nuckols Crossing in Austin (TX)"
19,"A416147","6001 West Parmer in Austin (TX)"
20,"A416147","Fm 734 And Mcneil Road in Austin (TX)"
21,"A416147","Williamson (TX)"
22,"A432542","307 E 38Th St in Austin (TX)"
23,"A434171","10107 East Rutland Village Drive in Austin (TX)"
24,"A437400","8300 Garcreek in Austin (TX)"
25,"A443875","Austin (TX)"
26,"A443876","Austin (TX)"
27,"A444494","11846 Jollyville Rd in Austin (TX)"
28,"A446266","Austin (TX)"
29,"A446860","11301 Farrah Lane in Austin (TX)"
30,"A447792","Westmoreland in Austin (TX)"
31,"A449318","1000 Parker Lane in Austin (TX)"
32,"A450902","1100 Congress Avenue in Austin (TX)"
33,"A451534","Austin (TX)"
34,"A451534","Austin (TX)"
35,"A451561","Towering Oaks Drive And Whispering Winds Drive in Austin (TX)"
36,"A453399","Gardner in Austin (TX)"
37,"A454044","Cinnamon Path in Austin (TX)"
38,"A454044","1608 Waterloo Trail in Austin (TX)"
39,"A454228","5400 Freidrich in Austin (TX)"
40,"A454956","Hardy Dr And Piedmont Ave in Austin (TX)"
41,"A458713","Dagon And Avering in Austin (TX)"
42,"A460420","803 East Riverside Drive in Austin (TX)"
43,"A463685","2308 Perry Avenue in Austin (TX)"
44,"A463685","7201 Levander Loop in Austin (TX)"
45,"A464421","Austin (TX)"
46,"A464421","Austin (TX)"
47,"A471683","8021 N Fm 620 Apt817 in Austin (TX)"
48,"A474193","8001 South Interstate 35 in Austin (TX)"
49,"A474506","2304 Elara Drive in Austin (TX)"
50,"A475011","1100 Montopolis in Austin (TX)"
51,"A477912","Fm 969 And Hunters Bend Road in Austin (TX)"
52,"A478575","1210 Kenyon Drive in Austin (TX)"
53,"A478962","7313 Providence in Austin (TX)"
54,"A479356","8301 Warbler Ct in Austin (TX)"
55,"A480389","1602 Ulit Avenue in Austin (TX)"
56,"A482199","East Stassney Lane in Austin (TX)"
57,"A483604","Berkman Drive in Austin (TX)"
58,"A483941","115 Heritage Drive in Hays (TX)"
59,"A484568","1505 Willow Street in Austin (TX)"
60,"A486526","115 Heritage Drive in Hays (TX)"
61,"A487443","Parmer Lane And Mopac in Austin (TX)"
62,"A488234","Clear View in Travis (TX)"
63,"A489405","Austin (TX)"
64,"A490230","5208 Garden Oaks Drive in Austin (TX)"
65,"A491142","Austin (TX)"
66,"A491338","2630 Exposition Boulevard in Austin (TX)"
67,"A491764","4307 South 1St in Austin (TX)"
68,"A495162","12313 Emery Oaks Dr in Austin (TX)"
69,"A495636","12041 Dessau Road in Austin (TX)"
70,"A496993","Hunters Chase Dr in Austin (TX)"
71,"A497527","Austin (TX)"
72,"A498737","Travis (TX)"
73,"A498745","Vargas St in Austin (TX)"
74,"A500324","4717 Highland Terrace in Austin (TX)"
75,"A500672","12021 Selma Huges Park Rd in Austin (TX)"
76,"A501697","4404 Marlin Cove in Austin (TX)"
77,"A501761","294 Dry Creek Rd in Manor (TX)"
78,"A502352","Austin (TX)"
79,"A505566","1704 Nelms Dr in Austin (TX)"
80,"A505566","8117 Willet Trl in Austin (TX)"
81,"A507271","3838 Steck Avenue in Austin (TX)"
82,"A507491","4320 S Congress in Austin (TX)"
83,"A508612","502 W Croslin in Austin (TX)"
84,"A510476","737 Wales in Austin (TX)"
85,"A510858","Austin (TX)"
86,"A516150","Austin (TX)"
87,"A516151","Austin (TX)"
88,"A516176","7708 Song Sparrow Dr in Austin (TX)"
89,"A516885","3116 Rokeby Cove in Austin (TX)"
90,"A516885","Howard Ln in Austin (TX)"
91,"A517632","Lake Austin in Austin (TX)"
92,"A518230","Austin (TX)"
93,"A518581","3001 N Fm 973 in Austin (TX)"
94,"A519025","Austin (TX)"
95,"A519763","1044 Camino La Costa in Austin (TX)"
96,"A520786","Austin (TX)"
97,"A523389","Gattling Gun in Austin (TX)"
98,"A523770","Travis (TX)"
99,"A524452","2000 Cedar Bend Dr in Austin (TX)"
100,"A524545","7909 Topana Ln in Austin (TX)"
101,"A524545","Cameron Rd And 290 Underpass in Austin (TX)"
102,"A525511","1105 Brass St in Austin (TX)"
103,"A525511","1105 Brass Street in Austin (TX)"
104,"A525888","9801 West Parmer Lane in Austin (TX)"
105,"A526687","Austin (TX)"
106,"A527020","9700 Us 290 Highway in Austin (TX)"
107,"A528768","Austin (TX)"
108,"A528958","7601 Daffan  Lane in Austin (TX)"
109,"A529956","10305 Lava Lane in Austin (TX)"
110,"A530690","5808 Mckinney Falls Pkwy in Austin (TX)"
111,"A531278","15520 Sarahs Creek in Travis (TX)"
112,"A531358","10841 Redmond Road in Austin (TX)"
113,"A531378","Pioneer Crossing in Austin (TX)"
114,"A531978","220 Quinn Drive in Hays (TX)"
115,"A532137","7501 Bluff Springs Road in Austin (TX)"
116,"A533384","6105 Mountain Villa Cr in Austin (TX)"
117,"A534157","Austin (TX)"
118,"A534499","6300 Tara Drive in Austin (TX)"
119,"A535405","Austin (TX)"
120,"A536405","Austin (TX)"
121,"A537028","12609 Dessau Road in Austin (TX)"
122,"A538102","710 West Us 290 in Austin (TX)"
123,"A538102","91 Rainy Street in Austin (TX)"
124,"A539554","Austin (TX)"
125,"A539793","2200 S Pleasant Valley Road in Austin (TX)"
126,"A540548","Austin (TX)"
127,"A540861","Decker Lane in Austin (TX)"
128,"A540861","Taylor Lane in Manor (TX)"
129,"A541497","7224 Black Panda Trail in Travis (TX)"
130,"A541607","Arroyo Seco And Burnet in Austin (TX)"
131,"A542046","Austin (TX)"
132,"A543319","2000 Cedar Bend Dr in Austin (TX)"
133,"A543947","4708 Reyes Street in Austin (TX)"
134,"A544366","Beckett Road And Kiva Drive in Austin (TX)"
135,"A545642","Austin (TX)"
136,"A546199","5814 Gloucester Lane in Austin (TX)"
137,"A546726","4309 Oak Creek Dr in Austin (TX)"
138,"A547054","Austin (TX)"
139,"A547142","Austin (TX)"
140,"A548513","9901 North Lamar Boulvard in Austin (TX)"
141,"A548919","2206 Blue Meadow Dr in Austin (TX)"
142,"A548940","5426 Menchaca Rd in Austin (TX)"
143,"A549876","10501 Walnut Bend Dr in Austin (TX)"
144,"A549917","1647 Rutland Dr in Austin (TX)"
145,"A550207","Austin (TX)"
